model,class_label,k,candidate_count,image_count,patient_count,inertia_per_candidate,mean_distance_to_center,p90_distance_to_center,median_cluster_candidates,min_cluster_candidates,median_cluster_patients,min_cluster_patients,clusters_under_5_patients,clusters_under_10_patients,mean_max_patient_share,worst_max_patient_share,top1_importance_S_h,top5_mean_probability_drop,ssc_step0_accuracy,ssc_final_accuracy,sdc_step0_accuracy,sdc_final_accuracy,previous_k,adjusted_rand_vs_previous_k,normalized_mutual_info_vs_previous_k
efficientnet_b0,1,20,37745,251,157,78.64652271824083,8.766127888839566,10.547142219543456,1801.0,1128,132.5,61,0,0,0.06193382188118322,0.3200354609929078,0.7130125482006376,0.12860833699359708,0.0,0.7529880478087649,0.6972111553784861,0.446215139442231,15.0,0.5231117537204772,0.6296335217548068
efficientnet_b0,1,25,37745,251,157,77.76866472380448,8.715787417014745,10.495366096496582,1527.0,858,132.0,43,0,0,0.067937913394484,0.3846153846153846,0.7095305512388389,0.14135940878853873,0.0,0.7290836653386454,0.6972111553784861,0.4183266932270916,20.0,0.5708754484339921,0.690375810060195
efficientnet_b0,1,30,37745,251,157,77.05398065969003,8.67470614292682,10.450754356384277,1226.5,783,128.5,42,0,0,0.06626669580079537,0.3920817369093231,0.7099095132958841,0.13206277543742265,0.0,0.6215139442231076,0.6972111553784861,0.4541832669322709,25.0,0.4325983853817209,0.6196893505925822
efficientnet_b0,1,35,37745,251,157,76.4482580474235,8.64000458532271,10.409561920166015,1094.0,701,120.0,40,0,0,0.07616730278847968,0.4028314028314028,0.7466225369844541,0.10776112880598565,0.0,0.5776892430278885,0.6972111553784861,0.4541832669322709,30.0,0.5377403882164102,0.6880912264057799
efficientnet_b0,1,40,37745,251,157,75.92092330109948,8.609727477559918,10.383447074890137,925.5,656,115.5,38,0,0,0.07637148739463578,0.4061624649859944,0.7097759441698928,0.16339253460713696,0.0,0.6892430278884463,0.6972111553784861,0.3864541832669322,35.0,0.4914148712988809,0.668929041422646
efficientnet_b0,1,45,37745,251,157,75.49382699695325,8.585574651203466,10.35032501220703,809.0,491,110.0,34,0,0,0.08379574647818427,0.3702359346642468,0.608798578915843,0.14028089846969727,0.0,0.5896414342629482,0.6972111553784861,0.3784860557768924,40.0,0.41415834609921665,0.6314088486706374
efficientnet_b0,1,50,37745,251,157,75.08251424029673,8.561944120030384,10.331513786315917,756.0,471,106.0,33,0,0,0.08825128202210669,0.3971774193548387,0.6341207948962293,0.15042252189029495,0.0,0.5617529880478087,0.6972111553784861,0.3745019920318725,45.0,0.3454311664967654,0.5944319882397953
resnet50,0,10,23351,251,157,78.66194702582331,8.779590626088849,10.419498443603516,2308.5,663,155.0,119,0,0,0.029194840838876857,0.0509453781512605,0.688809060495332,-8.283014040979652e-06,1.0,0.9840637450199204,0.8804780876494024,0.9561752988047808,,,
resnet50,0,15,23351,251,157,76.22556849813712,8.64024698007827,10.266406059265137,1534.0,632,146.0,77,0,0,0.03446901447176535,0.0936883629191321,0.7721994842933231,-0.0019681875489805404,1.0,0.9880478087649402,0.8804780876494024,0.9800796812749004,10.0,0.4543445137511799,0.6357717200950299
resnet50,0,20,23351,251,157,74.36713095798895,8.53266293627512,10.15036392211914,1157.5,623,142.5,75,0,0,0.03627181814295607,0.1045296167247386,0.7034492848953047,0.005244488363297021,1.0,0.9641434262948207,0.8804780876494024,0.9482071713147412,15.0,0.5400170997774567,0.7068953797333234
